time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-07 00:00:00+00:00,1.0,1.0,58,26
2025-05-08 00:00:00+00:00,4.0,2.0,27,16
2025-05-09 00:00:00+00:00,3.0,3.0,52,20
2025-05-10 00:00:00+00:00,5.0,3.0,33,14
2025-05-11 00:00:00+00:00,8.0,4.0,36,14
2025-05-12 00:00:00+00:00,4.0,3.0,66,23
2025-05-13 00:00:00+00:00,4.0,2.0,42,25
2025-05-14 00:00:00+00:00,1.0,1.0,66,24
2025-05-15 00:00:00+00:00,5.0,2.0,53,24
2025-05-16 00:00:00+00:00,1.0,1.0,16,13
2025-05-17 00:00:00+00:00,2.0,2.0,25,17
2025-05-18 00:00:00+00:00,4.0,3.0,34,15
2025-05-19 00:00:00+00:00,5.0,2.0,27,18
2025-05-20 00:00:00+00:00,,,53,15
