time_iso8601,stars_cumulative
2024-09-28 00:00:00+00:00,1
2024-10-11 00:00:00+00:00,2
2024-10-23 00:00:00+00:00,3
2024-11-09 00:00:00+00:00,4
2024-11-19 00:00:00+00:00,5
2024-11-23 00:00:00+00:00,6
2024-11-26 00:00:00+00:00,8
2024-12-01 00:00:00+00:00,9
2024-12-05 00:00:00+00:00,10
2024-12-23 00:00:00+00:00,11
2024-12-25 00:00:00+00:00,12
2025-01-03 00:00:00+00:00,13
2025-01-06 00:00:00+00:00,15
2025-01-19 00:00:00+00:00,16
2025-01-20 00:00:00+00:00,17
2025-01-25 00:00:00+00:00,18
2025-01-31 00:00:00+00:00,19
2025-02-10 00:00:00+00:00,20
2025-02-12 00:00:00+00:00,21
2025-02-14 00:00:00+00:00,22
2025-02-15 00:00:00+00:00,25
2025-02-18 00:00:00+00:00,26
2025-02-22 00:00:00+00:00,27
2025-03-24 00:00:00+00:00,28
2025-04-10 00:00:00+00:00,29
2025-04-25 00:00:00+00:00,30
2025-05-11 00:00:00+00:00,31
