time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-25 00:00:00+00:00,6,4,51,2
2024-07-26 00:00:00+00:00,10,9,49,1
2024-07-27 00:00:00+00:00,1,1,2,1
2024-07-28 00:00:00+00:00,0,0,8,1
2024-07-29 00:00:00+00:00,2,1,7,1
2024-07-30 00:00:00+00:00,0,0,2,1
2024-07-31 00:00:00+00:00,0,0,2,2
2024-08-01 00:00:00+00:00,0,0,4,2
2024-08-02 00:00:00+00:00,2,2,14,2
2024-08-04 00:00:00+00:00,3,1,0,0
2024-08-05 00:00:00+00:00,3,2,58,3
2024-08-06 00:00:00+00:00,1,1,1,1
2024-08-08 00:00:00+00:00,0,0,2,1
2024-08-10 00:00:00+00:00,1,1,0,0
2024-08-11 00:00:00+00:00,1,1,3,1
2024-08-12 00:00:00+00:00,1,1,0,0
2024-08-13 00:00:00+00:00,3,1,19,1
2024-08-14 00:00:00+00:00,0,0,9,2
2024-08-15 00:00:00+00:00,0,0,1,1
2024-08-16 00:00:00+00:00,1,1,0,0
2024-08-17 00:00:00+00:00,0,0,3,1
2024-08-18 00:00:00+00:00,0,0,28,2
2024-08-19 00:00:00+00:00,0,0,1,1
